   bins     nue_mu     nue_k+     nue_k0     nu-e       nc-gam     del-gm     numucc     Dirt       Cosmic     Other      Signal     Total   
0.20-0.35     45         16          6          3         56          0         10         47          7          0         13         189    
0.35-0.50     71         40         12          5         33          1         10         13          1          0         28         186    
0.50-0.65     76         56         15          5         14          2          6          3          1          0         64         176    
0.65-0.80     77         57         14          7          8          2          4          1          0          0         82         169    
0.80-0.95     69         58         11          9          5          2          4          1          0          0         73         157    
0.95-1.10     58         61         11          5          3          1          3          0          0          0         57         142    
1.10-1.30     61         82         16          3          3          1          3          0          0          0         48         170    
1.30-1.50     44         67         17          1          4          0          3          0          0          0         25         136    
1.50-1.75     37         67         18          1          4          0          2          0          0          0         13         129    
1.75-2.00     24         58         19          1          2          0          2          0          0          0          5         106    
2.00-3.00     30         121        39          1          5          0          4          0          0          0          4         201    
  Total       593        684        177        39         137         8         50         65         10          0     
