   bins     nue_mu     nue_k+     nue_k0     nu-e       nc-gam     del-gm     numucc     Dirt       Cosmic     Other      Signal     Total   
0.20-0.35     21         10          4          3         29          0          7         34          6          0          2         113    
0.35-0.50     38         20          6          2         18          1          6          9          2          0         10         101    
0.50-0.65     45         26          6          2          8          1          4          2          1          0         16         94     
0.65-0.80     42         32          8          1          4          1          3          0          1          0         16         92     
0.80-0.95     38         36          8          1          2          1          2          0          0          0         12         90     
0.95-1.10     33         37          7          0          2          0          2          0          0          0          9         81     
1.10-1.30     35         44          9          0          2          0          2          0          0          0          7         92     
1.30-1.50     26         38          9          0          1          0          2          0          0          0          4         76     
1.50-1.75     23         41         10          0          2          0          2          0          0          0          2         78     
1.75-2.00     14         31          8          0          2          0          2          0          0          0          1         56     
2.00-3.00     18         72         17          0          5          0          4          0          0          0          1         115    
  Total       331        388        91         10         75          5         34         46         11          0     
