   bins     nue_mu     nue_k+     nue_k0     nu-e       nc-gam     del-gm     numucc     Dirt       Cosmic     Other      Signal     Total   
0.20-0.35     585        151        59         59         504         1         112        23          3          0         62        1496    
0.35-0.50     938        282        99         137        299        13         95         10          1          0         81        1874    
0.50-0.65    1076        417        134        20         120        21         58          5          0          0         58        1851    
0.65-0.80     961        579        155        19         54         23         37          2          0          0         41        1831    
0.80-0.95     769        622        158        32         33         13         22          1          0          0         24        1651    
0.95-1.10     619        641        172        51         22          7         14          1          0          0         14        1528    
1.10-1.30     607        866        210        32         28          4         13          1          0          0          9        1761    
1.30-1.50     391        817        167        26         33          1         12          1          0          0          4        1449    
1.50-1.75     339        864        186         7         51          1         21          0          0          0          2        1468    
1.75-2.00     203        660        168         0         25          0         25          0          0          0          1        1083    
2.00-3.00     231       1360        267         7         84          1         77          0          0          0          1        2026    
  Total      6721       7260       1776        389       1252        86         486        44          5          0     
